Northern Ireland,33,33,33,33,33,8,33,33,33,33,33,9,21,33,33,33,33,33,33,33
Ecuador,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,24,12,33,17
Algeria,33,33,33,33,33,33,33,33,33,33,33,13,22,33,33,33,33,33,28,14
Cote d'Ivoire,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,19,17,21
South Africa,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,24,17,33,20,33
Morocco,33,33,33,33,33,33,33,33,14,33,33,33,11,33,23,18,33,33,33,33
Norway,33,33,12,33,33,33,33,33,33,33,33,33,33,33,17,15,33,33,33,33
Australia,33,33,33,33,33,33,33,33,33,14,33,33,33,33,33,33,33,16,21,30
Senegal,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,7,33,33,33
East Germany,33,33,33,33,33,33,33,33,33,6,33,33,33,33,33,33,33,33,33,33
Greece,33,33,33,33,33,33,33,33,33,33,33,33,33,33,24,33,33,33,25,13
Saudi Arabia,33,33,33,33,33,33,33,33,33,33,33,33,33,33,12,28,32,28,33,33
Ukraine,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,8,33,33
Tunisia,33,33,33,33,33,33,33,33,33,33,9,33,33,33,33,26,29,24,33,33
Wales,33,33,33,33,33,6,33,33,33,33,33,33,33,33,33,33,33,33,33,33
Iran,33,33,33,33,33,33,33,33,33,33,14,33,33,33,33,20,33,27,33,28
Slovakia,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,16,33
Slovenia,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,30,33,18,33
Cuba,33,33,8,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
North Korea,33,33,33,33,33,33,33,8,33,33,33,33,33,33,33,33,33,33,32,33
Bosnia and Herzegovina,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,20
Honduras,33,33,33,33,33,33,33,33,33,33,33,18,33,33,33,33,33,33,30,31
Jamaica,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,22,33,33,33,33
New Zealand,33,33,33,33,33,33,33,33,33,33,33,23,33,33,33,33,33,33,22,33
Angola,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,23,33,33
Israel,33,33,33,33,33,33,33,33,12,33,33,33,33,33,33,33,33,33,33,33
Egypt,33,13,33,33,33,33,33,33,33,33,33,33,33,20,33,33,33,33,33,33
Kuwait,33,33,33,33,33,33,33,33,33,33,33,21,33,33,33,33,33,33,33,33
Trinidad and Tobago,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,25,33,33
Bolivia,12,33,33,13,33,33,33,33,33,33,33,33,33,33,21,33,33,33,33,33
Iraq,33,33,33,33,33,33,33,33,33,33,33,33,23,33,33,33,33,33,33,33
Togo,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,30,33,33
Canada,33,33,33,33,33,33,33,33,33,33,33,33,24,33,33,33,33,33,33,33
Indonesia,33,33,15,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
United Arab Emirates,33,33,33,33,33,33,33,33,33,33,33,33,33,24,33,33,33,33,33,33
China,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,31,33,33,33
Haiti,33,33,33,33,33,33,33,33,33,15,33,33,33,33,33,33,33,33,33,33
DR Congo,33,33,33,33,33,33,33,33,33,16,33,33,33,33,33,33,33,33,33,33
El Salvador,33,33,33,33,33,33,33,33,16,33,33,24,33,33,33,33,33,33,33,33
